Name      Surname   HW1     HW2     HW3     HW4     HW5     HW6     HW7     Exam    
Name124   Surname2  4.49    3.15    8.96    3.73    3.09    7.62    6.36    4.35    
Name125   Surname1  7.76    4.24    2.77    5.25    8.99    1.44    3.15    8.89    
Name126   Surname2  1.64    8.56    5.01    7.24    7.85    6.53    9.57    7.01    
Name127   Surname1  1.63    1.78    8.49    4.43    2.00    6.01    2.46    4.33    
Name128   Surname2  6.85    3.28    2.46    5.59    4.64    8.70    4.28    9.23    
Name129   Surname1  4.68    5.47    3.90    1.87    1.51    5.10    6.27    6.89    
Name130   Surname2  1.44    7.00    4.24    2.52    7.95    4.36    2.42    5.80    
Name131   Surname1  6.88    5.09    2.79    4.20    3.67    5.04    6.20    9.26    
Name132   Surname2  1.47    2.41    3.48    2.75    2.22    3.46    3.38    1.64    
Name133   Surname1  7.00    9.68    6.74    8.74    7.95    1.91    2.11    8.95    
Name134   Surname2  7.44    4.75    6.63    4.24    3.56    5.96    3.46    6.81    
Name135   Surname1  3.72    8.87    2.71    8.09    2.57    8.41    5.09    5.32    
Name136   Surname2  8.95    3.10    2.79    7.52    8.41    7.73    2.34    7.94    
Name137   Surname1  1.93    6.65    1.05    6.55    6.34    9.38    5.64    1.06    
Name138   Surname2  4.13    6.27    5.87    1.51    9.21    8.31    5.19    9.19    
Name139   Surname1  5.60    5.20    1.15    4.36    6.71    4.79    6.78    7.06    
Name140   Surname2  6.91    3.95    7.78    7.48    1.64    1.04    6.62    6.23    
Name141   Surname1  4.19    8.55    5.50    2.80    4.44    3.86    8.71    9.26    
Name142   Surname2  6.39    9.04    4.88    8.54    8.86    9.69    6.00    5.63    
Name143   Surname1  1.05    1.61    3.60    2.94    6.04    7.24    5.12    4.87    
Name144   Surname2  8.18    7.69    3.36    4.64    6.65    7.49    8.65    5.79    
Name145   Surname1  6.75    8.46    2.55    2.18    8.70    7.83    6.92    5.90    
Name146   Surname2  2.45    4.31    8.61    5.73    6.21    7.65    8.78    1.99    
Name147   Surname1  9.53    9.22    5.98    5.86    8.51    3.55    2.32    7.86    
Name148   Surname2  3.00    2.24    6.41    7.16    1.73    6.32    3.06    1.64    
Name149   Surname1  1.76    1.39    5.76    3.68    5.90    4.05    6.00    6.75    
Name150   Surname2  8.75    5.46    6.75    8.30    9.79    6.91    9.99    1.48    
Name151   Surname1  5.51    5.03    4.73    8.40    6.58    8.37    6.25    2.08    
Name152   Surname2  4.34    4.87    2.47    1.28    5.78    3.55    3.86    1.65    
Name153   Surname1  2.24    5.32    1.93    6.77    9.82    9.22    4.30    3.71    
Name154   Surname2  1.29    8.71    2.99    6.48    3.71    2.15    8.43    8.42    
Name155   Surname1  9.88    5.40    6.86    8.73    7.80    5.44    5.95    7.72    
Name156   Surname2  7.27    8.29    8.66    5.51    1.82    2.56    8.65    9.59    
Name157   Surname1  8.48    3.45    5.95    8.27    1.55    4.17    4.83    4.46    
Name158   Surname2  5.20    5.40    8.11    1.42    8.99    3.83    6.97    6.75    
Name159   Surname1  7.27    3.11    6.24    2.37    7.62    3.22    8.10    7.29    
Name160   Surname2  7.16    7.27    7.42    3.22    8.42    4.83    5.37    5.45    
Name161   Surname1  2.22    4.32    8.06    3.39    2.98    1.57    4.33    6.65    
Name162   Surname2  1.92    3.78    4.01    6.91    9.15    8.31    3.06    1.85    
Name163   Surname1  7.57    9.01    6.31    4.37    8.22    1.12    8.12    2.42    
Name164   Surname2  9.43    1.88    2.37    5.63    9.14    2.89    1.93    4.04    
Name165   Surname1  2.97    1.67    3.62    1.78    7.80    2.47    2.61    4.61    
Name166   Surname2  6.12    4.89    5.64    5.59    9.35    9.12    6.16    4.56    
Name167   Surname1  5.19    8.96    8.33    4.60    9.85    2.66    8.02    8.20    
Name168   Surname2  1.70    1.51    4.49    8.61    5.86    9.56    7.58    8.07    
Name169   Surname1  6.81    1.79    1.74    3.08    6.82    2.82    8.25    8.91    
Name170   Surname2  7.73    3.96    1.31    6.88    3.13    8.67    2.17    6.37    
Name171   Surname1  2.28    1.08    7.33    3.24    9.05    4.57    1.74    8.06    
Name172   Surname2  5.00    6.58    1.90    5.69    9.18    9.35    3.42    9.50    
Name173   Surname1  2.66    7.14    4.21    8.94    5.13    2.99    9.28    4.49    
Name174   Surname2  9.70    4.40    3.69    6.10    5.19    4.55    4.11    1.73    
Name175   Surname1  7.65    8.33    7.53    1.15    1.28    7.04    8.16    4.58    
Name176   Surname2  9.04    9.72    3.50    4.07    3.67    7.77    3.76    2.26    
Name177   Surname1  3.16    3.15    1.42    9.09    4.56    6.44    2.87    8.61    
Name178   Surname2  6.07    6.13    5.75    5.66    2.47    9.42    2.14    3.27    
Name179   Surname1  8.14    9.10    9.11    3.18    7.46    6.69    5.80    1.19    
Name180   Surname2  6.62    4.30    2.95    7.07    8.15    2.95    7.69    8.76    
Name181   Surname1  3.71    5.40    1.61    8.07    5.02    7.49    7.65    9.85    
Name182   Surname2  8.51    4.46    6.62    5.22    1.79    2.66    2.34    1.79    
Name183   Surname1  6.04    9.10    2.63    8.00    4.21    7.31    6.73    5.49    
Name184   Surname2  8.83    9.57    9.03    3.30    8.41    4.92    7.31    8.88    
Name185   Surname1  7.79    8.22    2.64    6.91    5.75    5.10    5.61    9.94    
Name186   Surname2  9.51    6.24    2.89    5.97    1.62    1.40    9.07    5.82    
Name187   Surname1  2.68    2.99    2.59    7.50    6.09    1.54    6.99    1.42    
Name188   Surname2  3.85    9.51    4.98    6.01    2.38    4.69    1.93    2.28    
Name189   Surname1  2.07    5.08    7.31    8.68    1.16    7.13    5.70    2.40    
Name190   Surname2  5.02    9.68    9.83    2.00    2.27    6.35    6.98    6.25    
Name191   Surname1  7.21    8.83    9.21    9.72    2.80    9.67    9.05    3.87    
Name192   Surname2  3.71    3.90    9.57    2.67    5.13    8.72    2.82    7.77    
Name193   Surname1  9.60    1.19    7.38    1.60    4.23    9.10    1.11    7.91    
Name194   Surname2  4.48    4.30    8.29    8.45    6.28    7.89    5.06    1.48    
Name195   Surname1  5.44    3.48    6.35    6.92    6.95    7.10    5.73    6.67    
Name196   Surname2  6.85    5.97    2.92    6.49    3.63    2.11    2.18    7.74    
Name197   Surname1  2.37    7.69    3.17    4.66    5.54    2.13    2.60    4.82    
Name198   Surname2  5.04    1.51    8.99    7.37    8.88    5.00    3.41    4.39    
Name199   Surname1  1.81    3.00    9.90    3.29    6.00    2.99    4.06    1.16    
Name200   Surname2  7.02    9.42    3.25    9.27    1.58    8.30    5.58    1.40    
Name201   Surname1  3.72    8.60    6.07    8.11    4.69    1.17    7.65    7.02    
Name202   Surname2  6.81    6.76    1.99    4.27    1.74    1.46    1.01    3.57    
Name203   Surname1  2.11    4.30    6.87    8.32    3.43    4.52    2.89    1.15    
Name204   Surname2  2.63    6.62    9.61    4.86    2.20    5.32    6.99    8.84    
Name205   Surname1  8.59    5.67    3.83    2.09    6.41    9.88    1.15    1.39    
Name206   Surname2  5.84    4.53    6.57    1.82    6.73    2.55    1.33    5.52    
Name207   Surname1  3.07    8.47    9.98    5.02    9.00    4.22    8.46    3.66    
Name208   Surname2  8.70    1.39    4.78    6.31    3.01    1.22    2.20    4.35    
Name209   Surname1  5.85    1.15    5.97    1.10    1.07    1.58    8.06    6.44    
Name210   Surname2  6.87    6.87    7.71    3.65    7.32    8.57    3.49    1.71    
Name211   Surname1  6.23    9.52    9.16    7.84    4.54    5.51    7.97    3.05    
Name212   Surname2  5.79    3.49    7.74    3.16    5.31    1.96    3.92    9.16    
Name213   Surname1  2.62    8.68    8.58    3.03    8.49    2.05    6.47    2.18    
Name214   Surname2  3.61    3.90    4.03    1.03    7.01    6.92    2.69    5.50    
Name215   Surname1  6.38    3.55    8.94    6.11    7.45    6.80    3.29    7.96    
Name216   Surname2  6.40    3.32    2.25    8.23    5.90    6.90    2.48    4.73    
Name217   Surname1  1.62    4.53    4.70    8.82    9.69    1.78    9.06    9.85    
Name218   Surname2  9.92    8.55    3.06    3.44    9.62    6.11    8.48    9.53    
Name219   Surname1  2.43    5.72    7.99    1.65    3.67    7.43    1.88    4.11    
Name220   Surname2  2.22    2.44    4.70    7.16    5.50    2.32    4.36    9.37    
Name221   Surname1  1.35    9.54    7.56    4.97    3.73    9.47    7.47    8.98    
Name222   Surname2  6.85    6.89    5.51    9.10    7.98    3.12    7.69    9.97    
Name223   Surname1  2.36    9.63    3.70    8.99    5.21    5.79    8.05    2.69    
Name224   Surname2  4.11    8.12    4.04    7.02    1.47    3.20    4.26    7.46    
Name225   Surname1  2.78    4.05    2.82    4.35    1.85    8.75    9.61    5.52    
Name226   Surname2  8.89    1.20    1.65    6.26    9.59    1.24    7.73    1.05    
Name227   Surname1  3.19    6.08    4.30    5.42    2.71    9.42    4.59    4.98    
Name228   Surname2  3.48    4.03    6.20    5.53    1.51    5.30    5.13    7.47    
Name229   Surname1  2.73    8.40    1.33    8.27    6.18    2.92    6.99    5.17    
Name230   Surname2  3.38    1.92    5.94    5.34    4.67    1.50    1.99    3.67    
Name231   Surname1  8.83    3.58    6.61    6.55    6.60    8.14    8.25    4.74    
Name232   Surname2  2.48    3.33    1.09    8.27    6.72    5.36    6.02    6.49    
Name233   Surname1  7.61    9.69    3.61    2.75    7.16    3.85    8.89    6.88    
Name234   Surname2  7.31    7.15    1.09    5.03    5.06    6.12    6.01    9.40    
Name235   Surname1  7.39    2.64    4.78    6.67    3.81    4.54    2.38    5.71    
Name236   Surname2  8.89    5.53    3.19    2.85    9.90    5.11    4.49    1.15    
Name237   Surname1  5.76    5.49    7.02    7.48    4.52    2.22    9.38    6.73    
Name238   Surname2  8.17    4.44    5.94    8.65    2.68    8.71    6.99    9.36    
Name239   Surname1  6.34    8.60    3.80    5.53    2.36    9.66    4.96    5.07    
Name240   Surname2  5.45    9.38    7.33    5.32    3.05    4.94    7.03    9.37    
Name241   Surname1  3.76    7.10    5.98    1.96    3.95    7.34    5.11    8.18    
Name242   Surname2  6.66    8.40    4.97    6.55    5.11    8.31    4.29    7.07    
Name243   Surname1  3.05    2.76    7.54    8.52    8.75    5.57    9.78    3.99    
Name244   Surname2  9.35    8.47    2.27    7.51    1.42    9.08    4.53    3.14    
Name245   Surname1  6.09    1.20    5.20    8.29    6.26    6.61    3.78    7.44    
Name246   Surname2  9.17    4.44    3.67    8.51    9.21    8.97    1.10    5.79    
Name247   Surname1  3.02    7.19    5.24    6.49    2.21    5.57    2.09    9.75    
Name248   Surname2  2.28    4.55    1.14    6.92    6.44    4.53    8.22    6.91    
Name249   Surname1  3.13    3.17    6.12    6.89    5.40    8.64    2.46    8.36    
Name250   Surname2  4.05    5.02    5.44    9.66    2.36    8.53    4.99    6.59    
Name251   Surname1  5.38    4.77    5.86    6.77    8.93    7.12    5.71    8.59    
Name252   Surname2  5.43    3.83    7.71    1.65    2.49    8.56    2.00    5.12    
Name253   Surname1  7.86    8.01    4.00    1.19    8.52    4.18    4.35    7.68    
Name254   Surname2  8.45    9.20    8.88    9.04    7.91    6.11    8.01    9.30    
Name255   Surname1  7.21    9.84    2.71    8.61    9.51    8.11    6.84    9.37    
Name256   Surname2  6.17    3.03    6.52    5.85    7.15    5.47    4.93    8.28    
Name257   Surname1  8.23    3.58    8.18    1.66    9.30    8.28    7.86    3.89    
Name258   Surname2  2.66    9.00    1.82    8.49    3.96    3.75    4.64    3.46    
Name259   Surname1  3.91    5.06    5.56    7.20    9.11    2.15    7.08    3.85    
Name260   Surname2  3.61    3.53    2.50    2.88    1.75    7.21    1.76    8.79    
Name261   Surname1  8.17    6.76    9.28    6.64    9.10    3.78    7.17    4.29    
Name262   Surname2  9.57    3.21    3.32    2.99    8.65    4.41    8.72    9.14    
Name263   Surname1  9.65    8.39    3.78    8.54    6.88    5.62    1.80    1.36    
Name264   Surname2  3.50    3.89    4.90    8.70    3.74    9.26    1.81    6.72    
Name265   Surname1  8.74    5.27    1.41    5.43    8.13    6.72    9.75    4.55    
Name266   Surname2  2.63    6.65    7.48    1.59    7.95    3.56    7.10    3.70    
Name267   Surname1  2.06    8.58    1.76    1.64    1.53    4.76    6.10    8.86    
Name268   Surname2  7.38    6.24    9.08    8.50    4.21    6.73    4.62    1.37    
Name269   Surname1  7.78    9.60    6.40    2.24    1.29    2.90    5.66    5.54    
Name270   Surname2  8.71    5.66    6.77    8.01    1.29    7.86    9.67    7.40    
Name271   Surname1  6.79    9.84    9.49    4.47    1.29    9.24    2.63    6.81    
Name272   Surname2  1.59    1.64    7.67    2.87    9.53    1.30    9.75    8.57    
Name273   Surname1  7.82    4.04    2.08    2.98    4.07    2.27    6.99    9.63    
Name274   Surname2  5.64    2.96    2.87    6.04    7.04    1.83    2.17    6.10    
Name275   Surname1  9.59    3.66    1.59    4.83    5.87    8.47    2.02    6.36    
Name276   Surname2  3.50    8.87    3.73    2.58    4.74    3.89    4.82    5.50    
Name277   Surname1  5.85    9.14    4.08    9.12    3.12    7.12    4.97    9.77    
Name278   Surname2  5.80    2.42    6.00    7.99    9.41    8.26    1.97    1.31    
Name279   Surname1  2.76    5.30    7.62    7.60    4.11    9.86    6.88    5.90    
Name280   Surname2  7.13    8.77    3.02    7.92    8.55    9.49    3.28    4.55    
Name281   Surname1  4.58    7.00    6.78    4.94    9.47    3.83    2.01    9.37    
Name282   Surname2  2.26    6.38    9.32    4.41    8.41    1.31    7.92    1.87    
Name283   Surname1  7.52    7.50    5.74    9.40    5.32    3.44    8.98    9.50    
Name284   Surname2  7.12    2.15    1.87    7.26    6.55    4.03    3.07    7.51    
Name285   Surname1  1.41    6.32    5.61    8.94    5.74    4.13    4.01    2.60    
Name286   Surname2  1.16    2.01    7.62    3.58    9.94    2.00    3.98    1.90    
Name287   Surname1  8.16    6.29    4.28    8.70    8.91    7.71    4.82    1.25    
Name288   Surname2  4.84    3.51    2.01    1.68    5.16    6.63    3.28    2.49    
Name289   Surname1  4.61    4.24    9.48    9.31    3.74    7.10    3.16    8.52    
Name290   Surname2  2.32    4.53    7.65    4.05    7.80    4.17    3.80    8.55    
Name291   Surname1  1.85    8.94    1.21    1.41    3.00    6.62    4.39    2.44    
Name292   Surname2  9.58    8.21    7.53    4.85    1.77    4.22    7.60    5.32    
Name293   Surname1  3.42    1.59    5.30    3.15    1.42    8.78    2.96    8.23    
Name294   Surname2  8.84    5.89    9.95    8.29    4.69    8.41    4.24    5.24    
Name295   Surname1  4.11    3.47    6.87    2.12    8.45    1.42    5.08    1.29    
Name296   Surname2  3.98    2.80    7.31    4.31    8.66    1.68    9.11    9.99    
Name297   Surname1  2.52    8.42    1.37    7.56    8.60    2.05    9.21    5.80    
Name298   Surname2  6.40    7.88    3.63    4.62    7.22    4.47    6.48    6.88    
Name299   Surname1  5.27    2.91    2.26    1.35    6.76    5.48    9.85    1.75    
Name300   Surname2  5.62    5.28    6.93    1.11    5.62    7.02    6.98    3.98    
Name301   Surname1  8.80    9.85    3.23    9.32    4.31    5.05    3.77    3.44    
Name302   Surname2  3.04    6.95    1.28    2.84    5.50    5.26    2.68    8.37    
Name303   Surname1  9.78    4.91    2.99    2.98    4.16    5.72    8.20    6.58    
Name304   Surname2  3.20    4.58    4.63    5.64    6.06    7.17    2.26    6.64    
Name305   Surname1  5.07    2.68    9.76    6.24    5.83    3.05    8.71    1.66    
Name306   Surname2  6.68    8.47    6.42    3.20    5.92    7.21    3.20    9.67    
Name307   Surname1  2.45    8.07    6.65    8.77    7.54    8.57    3.13    1.45    
Name308   Surname2  8.51    4.23    3.18    9.05    6.15    2.43    3.00    5.48    
Name309   Surname1  7.24    9.41    6.40    4.95    5.26    3.50    6.32    5.19    
Name310   Surname2  5.53    4.31    5.26    9.60    4.06    3.69    2.84    4.80    
Name311   Surname1  1.84    4.59    5.36    8.49    7.58    7.18    3.43    7.37    
Name312   Surname2  3.54    4.52    9.73    2.42    1.29    2.10    6.44    1.59    
Name313   Surname1  5.03    3.86    9.28    6.55    3.40    2.34    2.90    4.42    
Name314   Surname2  5.09    2.58    7.44    7.24    5.97    8.73    1.12    8.33    
Name315   Surname1  5.28    5.45    3.09    3.13    8.18    3.14    9.62    9.92    
Name316   Surname2  8.68    9.67    5.19    8.69    7.03    6.46    9.52    5.33    
Name317   Surname1  8.87    2.01    8.79    6.47    3.38    2.99    7.81    3.51    
Name318   Surname2  7.53    1.98    9.20    7.59    4.98    6.71    9.75    5.54    
Name319   Surname1  9.05    6.14    9.63    5.57    3.10    5.61    3.10    2.87    
Name320   Surname2  6.26    8.65    3.40    8.01    5.16    9.27    7.17    7.33    
Name321   Surname1  8.27    7.08    4.21    7.83    4.86    6.28    6.82    4.38    
Name322   Surname2  8.81    7.99    4.99    3.57    7.20    6.97    8.60    8.27    
Name323   Surname1  1.62    6.42    7.16    9.77    1.06    6.11    4.91    7.64    
Name324   Surname2  7.37    8.31    2.32    7.47    3.99    9.38    5.95    9.91    
Name325   Surname1  4.71    3.46    7.72    3.38    5.29    5.07    6.48    7.27    
Name326   Surname2  3.09    1.08    1.55    2.52    8.14    5.10    9.31    9.72    
Name327   Surname1  5.97    2.89    5.37    7.28    3.52    7.80    6.40    2.49    
Name328   Surname2  9.76    1.12    7.12    6.20    2.71    6.78    3.40    1.66    
Name329   Surname1  4.84    7.19    8.21    3.68    1.30    9.21    1.24    8.64    
Name330   Surname2  6.76    2.47    3.42    7.81    8.89    4.37    5.53    2.70    
Name331   Surname1  1.41    9.88    9.85    4.32    9.83    5.44    3.38    4.00    
